agent,env,problem_name,ion_count,op_count,solved,duration,compile_time,actions
ppo_x50_b_fd_l4,0,ae_indep_opt3_10,10,45,True,134.0,1.1311068534851074,8 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 11 5 5 11 5 11 5 9 5 11 5 11 5 11 5 11 5 10 7 10 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 4 5 11 5 10 7 10 7 7 7 7 8 5 11 2 11 5 9 5 11 10 7 7 8 5 11 2 11 5 11 9 5 4 4 5 11 5 11 10 2 7 8 9 5 7 7 10 10 7 7 8 5 11 5 11 2 11 4 5 9 10 7 7 7 8 5 11 5 11 2 9 10 8 8 10 11 2 5 10 8
ppo_x50_b_fd_l4,1,ae_indep_opt3_11,11,55,True,160.0,1.1618704795837402,8 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 11 5 5 11 5 11 5 9 5 11 5 11 5 11 5 11 5 11 5 10 10 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 10 10 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 10 7 7 7 8 5 11 2 11 5 11 5 11 11 5 3 5 11 4 11 5 2 10 8 10 7 10 8 8 10 10 7 7 7 8 5 11 5 11 5 9 5 11 10 7 7 8 5 11 2 9 5 10 10 8 2 3 11 5 11 11 4 4 5 8 10 8 10 2 10 8 10 9 8 8 10 11 2 5 10 8
ppo_x50_b_fd_l4,2,ae_indep_opt3_12,12,66,True,195.0,1.2983722686767578,8 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 11 5 5 11 5 11 5 9 5 11 5 11 5 11 5 11 5 11 5 11 5 10 10 7 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 11 5 11 4 5 10 10 7 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 10 10 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 10 7 7 7 8 5 11 2 11 5 11 5 11 11 5 3 5 11 4 4 11 5 2 10 8 10 7 7 10 8 8 10 10 7 7 7 8 5 11 5 11 5 9 5 11 10 7 7 8 5 11 2 9 5 10 10 8 2 3 11 5 11 11 4 4 5 8 10 8 10 2 10 8 10 9 8 8 10 11 2 5 10 8
ppo_x50_b_fd_l4,3,ae_indep_opt3_13,13,78,True,232.0,1.090094804763794,8 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 11 5 5 11 5 11 5 9 5 11 5 11 5 11 5 11 5 11 5 11 5 11 5 10 10 7 7 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 11 5 11 5 11 4 5 10 10 7 7 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 11 5 10 10 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 4 5 7 10 10 7 7 7 7 8 5 11 2 11 5 9 5 11 5 10 10 7 7 8 5 11 2 11 5 11 3 5 11 11 2 3 5 11 11 5 4 4 11 5 8 10 2 10 7 7 8 10 10 8 8 10 10 7 7 7 8 5 11 5 11 5 9 5 11 10 7 7 8 5 11 2 9 5 10 10 8 2 3 11 5 11 11 4 4 5 8 10 8 10 2 10 8 10 9 8 8 10 11 2 5 10 8
ppo_x50_b_fd_l4,4,ae_indep_opt3_14,14,91,True,273.0,1.259765625,8 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 9 8 10 11 5 2 11 5 11 5 9 5 11 5 11 5 11 5 11 5 11 5 11 5 11 5 11 5 10 10 7 7 7 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 11 5 11 5 11 5 11 4 5 10 7 10 7 7 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 11 5 11 5 10 10 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 11 4 5 7 10 10 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 10 10 7 7 7 8 5 11 2 11 5 11 5 3 11 5 11 11 2 3 5 11 11 5 4 4 11 5 8 10 2 10 7 7 8 10 10 8 8 10 10 7 7 7 7 8 5 11 5 11 5 9 5 11 5 10 10 7 7 8 5 11 2 9 5 10 10 8 2 3 11 5 11 11 2 3 5 11 11 4 5 8 10 2 10 8 10 9 8 8 10 10 7 8 5 11 5 11 11 2 5 10 8 10 9 8 8 10 11 2 5 10 8
ppo_x50_b_fd_l4,5,ae_indep_opt3_15,15,105,True,319.0,1.4879355430603027,8 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 9 8 10 11 5 2 11 5 11 5 9 5 11 5 11 5 11 5 11 5 11 5 11 5 11 5 11 5 11 5 10 10 7 7 7 7 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 11 5 11 5 11 5 11 5 11 4 5 10 10 7 7 7 7 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 11 5 11 5 11 5 10 10 7 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 11 5 11 4 5 7 10 10 7 7 7 7 7 7 8 5 11 2 11 5 9 5 11 5 11 5 11 5 10 10 7 7 7 7 8 5 11 2 9 5 11 5 11 10 7 7 8 2 11 5 11 5 11 11 5 5 3 11 5 11 11 2 3 5 11 11 5 4 4 11 5 8 10 2 7 10 7 8 10 10 8 8 10 10 7 8 8 10 10 7 7 8 5 11 5 11 5 11 11 5 5 11 5 9 11 4 5 8 10 8 10 10 7 8 5 11 2 9 5 10 10 7 7 7 8 5 11 5 11 5 11 2 9 4 5 7 10 10 7 7 8 5 11 5 11 2 9 4 5 7 10 7 7 11 5 5 11 2 9 5 10 10 8 2 9 4 5 10 11 2 5
ppo_x50_b_fd_l4,6,ae_indep_opt3_3,3,3,True,8.0,1.0172250270843506,8 8 9 10 8 2 11 5
ppo_x50_b_fd_l4,7,ae_indep_opt3_4,4,6,True,16.0,1.003246784210205,8 8 10 8 10 8 10 11 5 5 9 5 10 11 2 5
ppo_x50_b_fd_l4,8,ae_indep_opt3_5,5,10,True,26.0,1.0495586395263672,8 8 10 8 10 8 10 8 10 11 5 5 11 5 11 5 9 10 8 8 10 11 2 5 10 8
ppo_x50_b_fd_l4,9,ae_indep_opt3_6,6,15,True,40.0,1.0827043056488037,8 8 10 8 10 8 10 8 10 8 10 11 5 5 9 5 11 5 11 5 10 10 2 6 8 4 11 2 11 5 9 10 8 8 10 11 2 5 10 8
