agent,env,problem_name,ion_count,op_count,solved,duration,compile_time,actions
ppo_q50_b_fd_l4,0,qv14_0,14,96,True,480.25,3.6315815448760986,5 5 7 11 9 5 5 7 7 11 2 11 3 7 11 5 7 2 11 9 5 5 10 2 7 9 11 4 5 5 10 7 8 11 11 4 5 5 7 7 11 11 4 5 0 8 9 8 4 4 10 10 8 8 1 4 3 10 7 7 7 7 7 7 8 4 10 7 7 7 7 11 4 5 7 8 11 11 2 5 7 6 11 11 4 5 4 4 4 5 4 10 2 9 10 7 7 8 7 7 7 7 8 11 4 4 5 4 10 10 2 8 6 11 11 4 4 4 5 4 4 5 10 2 7 6 7 11 11 4 4 4 5 2 7 6 11 11 2 5 9 7 8 4 4 10 10 7 8 2 6 11 11 2 5 9 7 8 4 4 10 10 8 7 7 7 7 8 1 4 11 4 3 4 4 5 7 1 4 3 4 10 10 8 8 7 10 10 8 7 8 11 4 1 4 4 5 11 4 4 5 4 4 10 10 7 7 7 8 7 7 8 4 10 6 4 10 7 7 8 7 8 4 10 7 7 7 11 5 5 10 2 9 7 8 11 11 5 4 5 11 5 0 7 10 7 7 8 11 9 4 5 4 5 10 8 4 10 7 11 4 5 4 4 4 4 5 4 10 7 8 11 11 5 4 4 4 4 5 0 10 6 7 7 7 8 4 4 10 10 7 7 8 8 7 11 2 6 4 10 7 8 4 10 10 7 8 2 9 4 5 7 11 4 4 4 4 4 10 8 2 11 5 11 4 3 10 8 7 7 7 8 11 5 10 7 7 7 7 7 11 5 2 10 8 7 11 11 5 3 4 4 4 4 5 11 4 4 4 4 10 2 8 11 5 11 11 4 5 5 9 7 7 8 7 7 10 7 8 7 7 10 10 7 2 8 9 4 5 10 10 8 2 7 7 6 11 4 4 4 5 7 7 11 11 2 3 5 10 7 8 11 11 4 5 2 4 4 11 4 4 5 3 10 10 8 4 0 6 7 8 11 2 3 4 0 10 9 8 8 7 11 4 4 5 10 7 10 8 8 7 7 7 10 10 8 8 11 1 4 4 5 10 7 8 4 10 9 8 8 1 11 4 5 7 11 3 7 11 4 4 4 4 5 2 11 4 9 5 5 7 7 7 7 7 10 0 7 8 9 8 11 11 5 4 5 4 10 7 8 11 11 5 5 4 11 11 5 7 7 7 8 7 11 2 4 4 4 4 3 10 10 7 7 7 8 7 7 7 7 7 7 8 7 7 7 7 7 11 11 4 5 2 10 8 9 11 5 5
ppo_q50_b_fd_l4,1,qv14_1,14,91,True,454.5,1.1178052425384521,5 5 7 11 9 5 5 7 7 11 11 5 5 0 10 8 6 11 11 2 5 7 11 4 9 4 5 7 8 11 1 9 5 5 10 2 10 8 11 4 4 9 5 5 7 7 11 11 4 5 0 8 9 8 4 4 10 10 8 8 4 4 10 7 8 4 4 10 10 7 2 6 8 11 1 4 4 3 5 7 11 4 4 5 4 10 10 8 7 8 4 10 10 7 7 7 8 7 7 8 4 10 2 6 7 11 11 4 2 3 4 4 5 7 7 11 2 4 4 4 4 4 4 11 4 5 9 10 8 8 11 2 4 9 10 8 7 8 11 2 3 4 10 10 7 7 8 7 10 8 8 11 1 3 5 10 7 7 7 0 7 6 8 11 11 5 5 10 7 2 11 9 4 5 5 11 5 0 7 9 10 7 8 1 4 4 5 10 8 11 3 4 11 5 2 7 11 4 5 4 4 3 4 10 10 2 6 7 7 7 7 7 8 7 11 4 5 10 10 8 8 4 10 10 8 7 7 8 7 11 11 5 5 11 4 4 2 11 5 4 4 3 4 10 10 8 7 7 7 8 11 4 1 9 5 4 4 4 5 0 7 9 8 4 10 0 10 8 7 7 6 8 7 7 11 4 4 4 4 5 10 7 7 7 10 7 8 4 5 10 10 8 2 11 5 3 4 11 4 4 4 11 4 5 2 7 11 9 4 4 5 4 4 5 11 2 7 10 9 8 7 0 8 4 10 7 6 7 8 4 10 7 7 10 8 2 11 5 7 11 4 3 4 4 11 5 5 7 11 4 4 11 4 2 5 10 7 8 9 10 8 8 0 7 7 9 7 10 2 6 8 7 7 10 10 8 2 9 4 4 4 5 7 11 5 11 11 4 4 5 2 7 9 8 1 4 4 4 4 11 5 11 9 5 5 7 0 6 10 7 7 7 7 7 7 7 8 4 10 7 0 6 8 11 11 4 5 4 5 10 8 7 11 11 2 3 5 7 4 7 4 10 0 7 7 8 4 10 7 8 6 11 11 4 5 5 7 7 11 11 4 5 4 11 5 5 10 7 7 8 7 11 11 5 4 5 7 10 7 8 11 11 4 4 4 5 5 10 2 10 7 7 8 4 11 11 3 5 4 5 0 9 5 10 10 7 7 7 7 7 7 7 8 8 4 4 10 10 7 2 7 8
ppo_q50_b_fd_l4,2,qv14_10,14,92,True,457.0,2.6157383918762207,5 5 7 7 11 11 5 5 9 7 7 11 4 5 5 10 7 11 5 2 7 11 9 5 5 10 7 7 8 7 11 2 11 4 11 3 5 5 7 7 11 2 11 9 5 5 7 7 11 11 4 5 0 8 9 8 4 10 7 7 7 7 7 8 1 4 11 9 5 4 5 7 11 5 4 10 0 9 8 8 4 10 10 7 7 2 7 8 9 4 10 7 8 7 8 1 3 7 11 4 5 7 7 11 11 4 5 2 7 11 9 5 4 5 7 11 4 11 4 2 4 5 9 7 8 4 10 7 7 7 7 7 10 7 7 8 2 6 11 4 5 7 7 11 11 2 4 3 5 10 2 10 6 8 4 4 10 10 7 2 6 8 11 1 3 4 4 4 4 4 4 5 7 11 4 2 3 4 10 10 8 7 8 11 2 3 4 10 10 8 7 8 11 4 4 5 7 11 4 5 4 4 10 7 10 2 8 9 8 4 11 5 10 7 10 0 8 6 7 7 7 7 8 11 4 10 7 8 8 4 11 4 2 3 7 11 4 4 4 4 4 5 10 7 10 8 2 9 11 4 2 4 3 4 4 4 5 0 9 5 10 8 4 10 7 7 10 7 7 8 7 7 8 11 2 4 3 4 10 10 7 7 8 8 1 9 8 11 11 2 4 5 10 8 11 9 4 4 5 4 4 4 5 0 7 9 10 8 7 7 8 4 10 7 8 7 7 7 11 11 5 4 4 4 5 4 10 2 10 9 8 8 11 4 5 7 7 7 10 10 8 4 4 4 4 4 4 4 4 4 4 4 4 5 7 11 2 4 3 4 10 10 7 7 2 8 4 10 8 11 9 5 4 5 7 7 10 8 7 7 10 7 7 7 8 4 10 8 7 10 7 7 11 2 5 4 4 4 4 11 11 5 4 5 9 7 8 11 11 5 4 5 10 7 7 7 7 2 9 7 8 4 4 10 10 7 2 8 10 6 8 11 11 4 4 5 4 4 5 4 11 1 4 3 4 5 10 10 7 8 2 9 8 4 10 7 7 7 8 11 11 2 5 7 11 5 4 4 4 3 10 10 7 7 7 2 6 7 8 4 4 4 4 10 10 8 10 8 7 7 8 4 10 8 7 7 7 7 7 11 11 2 5 7 11 11 5 4 3 4 4 4 5 7 11 11 4 4 5 4 4 4 4 5 11 2 6 4 10 10 8 8 1 9 4 10 8 8
ppo_q50_b_fd_l4,3,qv14_11,14,90,True,460.75,2.564189910888672,5 5 7 11 9 5 5 10 7 8 11 11 4 5 5 7 7 11 11 5 5 0 10 6 7 8 11 4 11 4 4 5 5 10 2 7 11 4 9 5 5 7 7 11 11 5 5 0 9 10 8 2 9 4 10 8 8 4 4 10 10 8 7 7 8 4 10 7 7 7 7 7 11 2 3 5 10 7 8 11 11 4 4 5 4 5 4 11 4 5 4 4 4 4 4 10 10 2 8 4 10 9 8 7 7 7 7 8 7 11 4 10 8 7 7 8 11 4 5 10 7 7 7 7 8 7 11 11 2 4 5 9 7 8 4 10 8 11 4 11 4 4 4 4 4 5 5 11 4 11 2 4 3 5 10 10 7 7 8 7 7 7 8 7 1 11 4 4 4 4 3 5 10 0 7 8 10 10 8 7 7 7 8 11 4 4 4 4 5 10 10 8 8 11 4 3 4 5 11 2 9 11 5 5 7 11 5 7 7 7 7 7 10 7 7 10 8 0 7 7 7 6 8 11 1 9 5 4 5 10 2 9 7 10 8 8 11 4 5 7 7 11 11 4 5 4 4 5 7 7 11 4 11 4 5 5 0 10 6 8 11 11 4 5 5 7 11 11 5 4 5 7 7 0 9 5 7 7 7 10 7 7 7 7 7 7 10 2 8 11 5 10 7 7 8 6 11 11 4 5 2 4 4 4 9 4 5 7 7 11 11 5 2 9 7 11 5 5 7 11 5 4 11 2 4 4 10 10 7 8 7 8 9 10 7 7 7 8 8 4 10 8 1 4 11 4 4 4 5 11 4 4 5 7 10 7 7 10 7 8 7 8 4 10 9 8 7 0 8 6 11 4 5 7 11 4 11 4 5 2 11 5 4 3 4 10 10 2 7 7 8 10 7 7 6 8 4 10 10 7 8 2 9 4 5 4 4 1 3 4 4 11 4 5 0 10 9 8 8 1 9 8 11 11 4 4 4 5 5 1 9 8 10 10 7 7 7 7 7 8 7 8 4 0 6 4 4 4 11 4 4 4 4 5 10 2 7 7 7 7 6 7 11 4 4 4 4 4 4 4 4 11 2 5 3 10 7 8 4 4 10 10 7 7 2 7 8 11 5 9 10 8 8 4 10 7 7 7 8 4 4 10 10 8 7 8 1 9 8 11 11 4 4 4 4 4 5 4 5 7 7 11 11 2 5 7 11 9 5 4 4 5
ppo_q50_b_fd_l4,4,qv14_12,14,92,True,457.75,1.2519257068634033,5 5 7 11 6 11 5 5 10 7 8 11 11 2 5 7 11 9 5 5 7 7 11 11 5 5 10 7 7 8 11 4 11 4 5 5 0 10 7 7 8 7 7 9 7 8 7 11 11 5 2 7 11 4 4 4 5 7 7 11 11 5 5 7 7 11 11 4 5 5 7 11 9 5 5 10 7 8 11 11 5 2 9 7 8 4 4 10 10 8 7 8 1 11 4 5 3 10 10 7 7 8 8 11 4 10 2 6 7 7 7 8 4 10 2 7 7 7 6 7 11 11 4 2 5 7 11 4 3 4 4 4 4 4 4 4 5 0 10 7 7 7 7 7 7 7 7 7 6 7 8 11 4 11 4 5 4 4 4 5 4 10 2 9 10 7 2 8 7 7 6 11 4 4 11 2 5 10 8 7 11 11 4 3 5 4 5 10 2 9 4 5 10 7 7 7 11 5 5 10 2 9 7 8 11 11 4 5 2 9 7 11 4 5 0 8 9 7 8 7 7 0 7 7 7 10 6 8 11 11 7 7 8 2 9 4 5 7 7 11 11 4 5 5 10 7 8 11 11 4 4 5 5 0 10 7 7 7 7 6 7 8 7 11 2 11 9 5 4 5 7 7 7 11 2 11 11 4 3 5 5 7 11 4 5 7 11 4 4 10 2 8 9 11 5 4 2 4 3 10 10 8 7 7 7 8 4 10 7 7 7 8 11 11 4 5 2 9 4 4 5 4 10 10 8 8 10 7 7 7 7 7 8 4 10 7 7 7 11 2 5 9 5 7 7 11 4 4 5 7 11 4 4 4 11 5 7 7 8 11 4 4 4 11 4 5 4 5 0 9 7 0 6 8 4 10 10 7 7 2 7 8 4 10 6 7 8 11 4 11 2 3 5 7 11 4 4 5 4 1 4 11 9 5 5 0 7 9 7 7 7 8 10 10 8 8 11 4 5 10 10 8 7 8 4 4 10 10 8 2 9 8 4 11 4 5 7 11 11 4 4 4 4 5 5 0 9 7 10 7 7 8 7 7 7 8 10 10 7 8 4 5 4 4 4 4 4 4 1 9 8 11 4 4 4 4 10 2 8 11 5 7 11 9 5 5 11 2 3 4 10 10 8 7 10 7 8 2 4 9 10 8 7 8 1 3 11 5 7 11 4 4 4 10 2 8 4 10 9 8 7 8 4 10 10 8 7 7 8
ppo_q50_b_fd_l4,5,qv14_13,14,87,True,432.75,1.8743958473205566,5 5 7 11 9 5 5 7 7 11 11 5 5 10 7 7 7 8 7 11 11 4 4 4 4 5 5 7 10 7 7 11 5 5 7 11 11 5 5 10 2 7 11 9 4 5 5 7 7 11 11 5 5 0 9 7 8 11 4 5 10 10 7 8 8 4 10 7 7 7 10 7 2 8 9 11 4 5 2 9 10 7 7 8 1 4 5 9 7 8 11 11 4 5 4 5 10 7 7 8 11 11 4 5 4 1 4 5 9 10 8 8 11 4 4 5 10 8 4 10 10 7 8 7 8 11 4 4 5 0 9 5 10 7 10 7 7 7 8 2 9 4 10 7 8 8 4 10 2 6 11 4 4 5 10 7 11 2 3 4 4 4 5 7 11 4 4 4 4 4 5 0 9 7 7 8 4 10 10 7 8 8 11 4 5 10 10 7 8 7 7 7 8 11 2 4 11 4 4 4 5 3 10 10 7 2 7 8 4 10 9 8 8 4 10 2 7 6 7 11 11 5 4 4 4 4 5 10 2 9 7 8 11 11 5 4 4 5 7 4 7 4 7 4 7 4 7 4 7 4 4 4 4 4 11 4 10 2 8 4 3 10 10 8 8 1 9 8 4 4 10 10 8 8 10 8 1 4 4 11 5 9 10 7 7 7 8 8 10 8 7 10 7 7 8 1 11 3 7 11 2 5 3 4 4 11 4 5 10 7 8 11 4 4 11 5 4 4 5 7 11 4 4 10 2 6 7 8 11 4 4 5 10 10 8 7 8 10 7 7 10 7 8 2 11 4 4 5 9 7 8 11 1 9 5 4 4 4 4 4 5 10 2 6 4 10 10 8 0 6 7 7 7 7 8 7 10 2 10 7 8 7 6 7 11 11 5 2 9 4 4 4 5 10 7 8 11 4 4 4 11 5 4 5 11 11 2 5 7 6 7 10 8 10 8 4 10 10 2 8 6 11 4 4 5 7 11 4 11 5 2 3 4 11 4 5 7 7 11 11 4 2 5 10 9 8 7 7 8 7 10 10 7 8 7 7 7 7 8 10 2 7 6 11 11 5 4 4 4 5 4 11 4 4 5 11 11 2 5 9 7 11 5 4 5 10 7 10 7 7 7 7 8 7 8 7 10 10 8 7 7 7 7 8
ppo_q50_b_fd_l4,6,qv14_14,14,92,True,456.5,1.1082038879394531,5 5 7 11 6 11 5 5 10 7 8 11 11 4 5 5 7 7 11 11 5 5 0 10 8 6 11 11 4 4 5 5 10 7 8 11 11 4 5 5 0 9 5 10 10 2 8 4 10 8 4 10 9 8 7 7 8 4 10 2 7 7 6 7 11 11 4 5 4 4 5 10 7 7 7 8 11 11 4 5 5 10 7 8 11 11 4 4 4 5 5 7 7 11 11 4 5 5 10 2 10 9 8 4 4 5 7 7 10 7 7 8 10 7 8 1 3 7 11 4 11 2 3 5 10 7 8 1 11 4 4 4 4 10 8 8 9 4 0 7 9 7 8 7 7 7 7 8 4 10 2 6 11 4 4 4 4 4 4 4 5 10 7 10 2 7 6 8 11 4 5 10 10 8 7 7 7 7 8 7 1 9 8 11 11 4 4 5 5 7 11 2 11 4 4 3 10 8 7 7 7 7 8 4 10 2 6 11 4 11 4 4 5 7 7 8 11 4 4 1 4 5 4 3 4 10 10 8 7 8 4 4 10 10 8 2 10 7 7 7 8 9 4 5 7 7 11 11 4 5 5 1 4 4 11 5 3 10 10 2 8 4 10 6 4 10 8 8 11 4 5 10 10 7 7 7 8 7 7 7 7 8 11 2 3 7 11 4 5 4 11 4 11 4 4 4 2 3 4 4 5 7 11 2 9 4 10 8 8 11 4 5 10 10 7 8 7 7 7 7 7 7 7 8 4 10 2 9 10 8 7 8 1 9 5 11 4 5 7 11 4 1 4 4 4 3 4 1 4 3 5 10 10 8 8 11 4 4 5 4 10 10 7 7 7 7 0 7 8 7 8 11 5 9 10 8 8 11 4 5 10 10 8 8 1 11 3 5 11 4 4 11 5 2 10 7 7 6 8 10 10 7 8 8 11 4 5 10 10 7 8 2 10 8 4 3 11 5 7 11 4 5 4 4 11 11 2 5 10 7 7 7 6 7 7 7 8 11 5 10 2 6 7 11 11 5 4 4 4 5 7 7 7 11 11 4 2 3 5 7 7 11 11 4 4 5 2 11 3 4 5 10 7 10 2 7 7 7 8 11 5 9 4 5 10 10 7 2 6 7 8 4 10 10 7 7 8 2 9 4 4 4 4 4 5 11 11 4 4 2 4 5
ppo_q50_b_fd_l4,7,qv14_15,14,88,True,432.5,2.5161831378936768,5 5 7 7 11 11 5 5 7 9 11 5 5 7 7 11 11 5 5 10 7 8 11 11 4 5 5 10 7 8 11 11 4 5 5 7 7 11 2 9 4 10 8 8 4 0 9 7 8 4 10 8 7 7 7 0 7 7 10 9 5 5 7 7 7 11 2 11 11 5 5 7 7 11 11 5 5 10 9 5 5 7 11 11 4 5 5 7 11 11 4 5 5 7 10 4 4 2 7 9 4 10 8 8 4 10 8 11 4 11 7 2 6 7 7 7 7 8 4 10 7 7 7 8 11 7 7 7 7 7 7 11 5 2 9 4 5 10 7 7 8 11 11 5 4 5 7 11 5 11 11 5 4 4 4 4 4 4 4 5 7 11 4 2 10 9 8 8 0 7 7 7 7 7 7 7 7 10 8 9 7 7 8 11 11 4 4 2 4 5 10 9 8 7 8 11 2 11 11 4 4 4 3 5 4 5 7 7 11 1 5 10 9 8 8 10 2 9 7 7 8 11 11 4 5 4 4 4 5 10 7 7 11 5 4 4 4 5 7 7 10 7 2 7 6 7 10 7 7 7 7 7 7 7 7 8 4 10 7 7 11 2 5 9 4 5 7 11 4 5 7 11 4 5 4 4 11 4 4 4 11 5 5 7 7 7 10 0 9 8 8 11 11 5 5 10 7 8 4 4 10 10 7 7 7 7 2 7 7 8 7 6 10 8 11 4 4 4 4 10 2 3 4 5 11 2 4 4 4 4 4 3 7 11 5 4 10 10 8 8 4 4 10 10 7 7 7 2 6 8 10 8 10 7 10 8 2 9 8 11 11 4 5 4 4 4 4 4 5 10 2 9 7 11 5 5 10 2 10 6 7 7 7 8 4 10 10 2 6 8 4 11 4 5 7 11 11 4 4 4 4 4 5 7 8 11 4 5 7 7 11 11 2 3 5 10 10 7 2 7 7 8 7 10 6 7 7 8 7 10 7 7 11 2 5 4 3 4 4 4 4 4 11 4 5 10 2 7 9 11 2 4 5 4 4 4 3 4 10 10 8 7 7 7 8 11 1 5 3 10 10 8 7 7 8 11 2 9 5 4 4 10 7 10 8 8 10 7 7 7 0 7 7 8 11 11 5 5 7 11 11 3 5 5 11 11 2 4 5
ppo_q50_b_fd_l4,8,qv14_16,14,94,True,462.25,1.7716765403747559,5 5 7 11 9 5 5 7 7 11 11 4 5 7 8 11 11 5 5 0 10 7 7 6 8 11 11 4 5 5 7 7 11 11 4 5 5 10 2 7 11 9 4 5 5 10 0 7 7 8 9 4 10 7 8 2 4 10 7 8 7 6 11 4 11 2 5 7 11 4 3 4 5 7 11 4 4 4 4 4 4 10 8 8 11 2 4 10 6 4 10 8 7 8 11 2 4 4 10 9 8 8 4 10 8 1 9 4 11 5 5 7 7 11 2 9 11 5 5 10 0 7 6 8 11 4 4 5 10 7 10 7 7 7 8 7 7 8 1 9 5 7 11 4 11 4 5 2 10 7 8 10 6 4 10 8 8 11 4 5 10 10 2 7 6 8 11 4 5 7 7 11 4 5 7 7 11 11 4 4 4 5 2 9 5 10 7 7 8 11 11 4 4 5 7 8 11 4 4 4 5 4 4 4 10 10 8 2 9 7 8 7 0 9 7 7 8 4 10 7 7 8 7 7 7 7 7 11 11 2 3 5 7 11 4 11 4 2 3 4 4 4 5 7 11 4 4 2 4 11 4 5 9 10 8 8 4 10 2 9 10 7 8 8 7 10 7 7 7 7 7 8 7 1 11 4 3 7 11 4 4 5 5 7 7 11 11 5 7 7 7 7 8 11 2 9 4 5 7 7 11 11 2 5 9 4 4 4 4 5 7 7 7 10 7 10 8 2 9 4 5 10 10 7 8 7 8 11 5 4 10 10 7 8 1 5 9 5 7 7 11 11 5 4 4 4 4 4 4 4 11 5 4 5 7 7 7 11 2 7 7 7 7 11 9 8 8 4 10 10 7 7 2 6 7 7 8 4 4 4 10 7 10 7 8 8 4 4 10 10 2 8 9 4 5 7 7 11 11 4 5 2 4 9 4 5 7 11 11 2 3 5 10 7 8 4 4 10 10 7 7 8 7 7 8 1 3 11 1 3 5 10 0 7 7 10 8 8 4 11 4 4 4 4 4 4 3 4 5 4 11 2 11 9 5 5 0 7 7 7 6 7 7 0 7 9 7 7 8 4 7 4 10 7 7 7 10 2 3 4 4 4 4 5 7 11 2 9 4 4 5 4 11 4 5 10 10 7 7 7 7 7 8 8 11 4 4 4 4 5 7 10 8 4 10 7 10 8 8 11 4 10 7 2 6 8 11 2 6 11 11 2 5 7 11 3 7 11 4 5 4 5 7 11 11 2 5
ppo_q50_b_fd_l4,9,qv14_17,14,94,True,462.25,2.6997311115264893,5 5 7 7 11 11 5 5 9 7 7 7 8 11 4 11 4 5 5 7 7 11 11 5 5 7 7 11 2 9 11 5 5 10 7 11 4 5 5 7 7 11 11 5 5 0 10 9 8 4 5 7 11 5 10 7 10 8 8 4 4 10 10 8 7 7 8 1 4 4 11 5 4 4 3 7 11 5 4 10 10 8 8 11 4 5 10 10 7 8 0 9 8 8 4 4 10 10 7 8 7 7 7 8 11 5 7 11 11 5 4 5 10 2 7 7 11 4 3 5 0 10 10 8 6 8 4 11 4 5 7 7 11 11 4 5 4 5 4 10 2 3 10 10 8 2 10 7 6 7 8 4 10 10 8 8 4 4 4 4 4 1 9 5 10 8 11 4 4 11 2 5 7 11 9 5 5 10 2 10 6 4 10 7 7 7 7 7 2 6 8 11 11 4 4 5 4 4 5 7 1 4 9 4 4 5 7 11 4 4 2 4 10 10 6 7 8 7 7 8 11 5 4 4 10 7 10 2 6 7 8 7 11 4 10 8 7 8 4 10 8 7 7 11 4 11 2 3 5 7 11 11 2 3 5 0 9 7 8 4 4 10 10 2 8 9 4 5 7 7 11 11 4 5 4 4 5 10 7 0 7 7 7 7 7 7 8 11 5 4 4 4 4 11 4 4 9 5 4 5 7 11 4 5 7 11 2 3 10 7 10 2 6 8 10 7 8 1 4 4 11 4 5 3 10 10 7 7 7 8 8 4 10 7 8 4 10 8 4 10 7 10 7 8 8 4 11 1 3 4 4 4 4 5 11 4 5 4 0 10 6 7 10 8 2 9 8 4 10 8 4 10 7 10 8 8 11 1 4 5 4 4 4 4 3 11 5 10 7 7 11 4 4 5 5 0 10 9 8 4 5 10 7 7 7 7 10 8 4 4 5 10 8 4 10 10 2 8 9 10 7 8 8 1 11 5 9 7 11 5 2 11 5 7 11 4 4 4 3 11 4 5 4 5 10 2 6 7 11 11 2 5 9 7 8 4 10 7 8 4 10 7 10 7 2 6 7 7 7 7 7 8 7 10 7 2 11 9 5 5 10 2 7 6 11 11 5 1 3 4 5 7 7 11 11 4 4 4 5 4 4 4 5 7 11 4 2 4 10 9 8 8 11 4 5 10 10 2 6 7 7 7 7 7 8 4 4 10 10 7 7 7 2 7 8
