agent,env,problem_name,ion_count,op_count,solved,duration,compile_time,actions
ppo_x50_b_fd_l4_same_gamma,0,qv14_0,14,96,True,493.0,3.126037359237671,8 8 9 10 8 8 10 10 8 8 11 5 10 10 7 8 8 10 10 8 8 11 4 5 10 10 7 7 0 8 8 9 10 8 8 11 5 11 1 9 5 5 11 11 5 4 4 5 10 7 7 8 11 11 5 4 4 5 10 7 10 8 2 9 7 10 7 8 7 8 4 10 10 8 8 4 4 11 4 4 4 4 4 4 5 10 11 5 2 9 11 5 5 7 7 7 7 11 5 11 5 4 11 5 10 7 10 8 7 0 6 7 7 8 10 10 7 8 2 11 3 4 4 5 10 7 8 10 10 8 8 4 4 10 11 2 3 4 4 5 7 11 10 8 8 4 11 11 5 4 4 10 8 7 0 6 7 7 7 7 7 8 4 4 11 5 4 4 11 4 4 4 4 4 5 10 10 8 7 8 10 10 8 8 10 7 7 10 8 8 11 2 9 11 4 5 4 4 4 4 5 11 2 9 10 8 4 5 4 10 2 10 6 7 10 7 7 8 7 5 10 10 8 7 7 8 4 11 2 4 9 11 5 4 4 5 0 10 10 6 8 7 7 8 10 10 8 8 4 4 10 2 9 8 11 11 5 5 11 4 4 5 10 10 8 2 4 11 5 9 11 5 4 4 4 5 7 10 0 6 7 7 8 10 7 10 8 8 11 4 5 11 4 4 4 5 10 10 8 7 7 7 7 7 7 5 4 10 10 8 8 11 5 10 10 7 8 4 2 9 8 11 5 11 11 5 4 4 4 4 4 4 5 11 11 5 5 7 7 7 10 7 8 11 11 5 2 9 7 10 8 2 4 3 4 4 11 5 7 10 10 7 8 7 8 11 2 9 11 5 7 8 11 5 4 11 4 5 11 11 5 5 7 7 7 7 10 10 7 7 8 8 11 4 5 10 7 7 8 4 4 4 10 10 8 2 9 10 7 8 7 8 11 4 5 10 11 5 5 4 11 11 5 4 5 11 4 4 5 10 10 8 7 7 7 7 7 7 8 10 10 8 8 4 11 10 8 2 11 3 5 11 11 5 4 4 5 4 11 11 5 2 7 11 5 10 10 8 8 10 10 8 8 7 9 10 7 7 8 8 4 4 4 11 11 5 4 4 4 4 4 4 5
ppo_x50_b_fd_l4_same_gamma,1,qv14_1,14,91,True,445.0,3.024900436401367,8 8 9 10 8 8 10 10 8 8 11 5 10 10 7 8 8 11 5 11 4 5 7 7 7 10 10 8 8 10 10 8 8 11 5 4 4 4 4 11 5 10 10 7 7 7 7 8 8 10 10 8 8 4 4 11 4 4 5 10 7 7 7 7 8 11 11 5 11 5 2 9 8 11 5 4 11 11 5 5 11 5 10 7 7 8 4 4 4 11 11 4 5 2 9 10 8 2 7 7 7 7 7 7 7 7 11 5 9 11 5 5 11 5 4 4 4 10 2 11 9 5 5 4 11 11 5 5 7 7 7 11 5 10 10 8 7 7 7 8 10 8 11 4 4 10 8 8 11 4 5 7 10 10 8 8 4 4 11 2 7 11 9 5 11 5 4 5 10 2 9 10 8 8 10 10 8 8 10 2 7 7 10 10 8 8 4 4 9 5 4 4 4 4 4 4 11 11 5 2 7 11 9 5 5 10 4 11 5 2 7 6 10 10 8 8 10 8 10 8 10 10 8 4 4 4 5 10 7 7 7 10 8 2 4 11 3 4 5 11 4 4 11 5 5 10 0 6 0 6 7 7 7 10 8 8 7 7 11 11 5 2 9 5 4 4 10 11 5 5 11 11 5 2 7 7 9 7 8 11 11 5 2 9 5 10 7 7 10 7 7 8 8 11 5 4 4 4 4 4 11 5 10 10 8 4 4 5 11 11 5 5 7 10 7 7 7 7 8 11 4 4 5 4 11 11 5 5 7 7 10 7 8 4 10 10 8 7 7 8 4 11 5 4 11 4 4 5 10 10 8 7 7 7 7 7 8 10 10 8 7 8 4 10 8 11 11 5 2 3 4 11 5 4 10 10 8 8 11 2 9 7 11 5 5 11 11 5 4 5 11 11 5 4 4 5 10 7 7 8 11 11 5 4 5 10 10 8 2 10 10 7 7 7 8 7 7 7 7 8 4 4 9 5 10 7 10 8 8 4 11 5 4 4 11 11 5 2 7 10 7 10 8 7 8
ppo_x50_b_fd_l4_same_gamma,2,qv14_10,14,92,True,448.0,3.0749614238739014,8 8 9 10 8 8 10 10 8 8 11 5 11 11 5 5 10 8 7 10 10 7 8 8 11 5 11 10 7 7 8 8 10 10 8 8 11 5 4 4 10 10 8 8 11 4 5 4 10 11 5 11 5 4 4 5 7 7 7 11 10 8 8 7 7 7 10 7 10 8 8 4 11 5 10 10 8 2 11 5 11 3 5 11 11 5 2 9 11 5 4 4 4 4 4 5 7 7 7 10 7 7 8 4 11 11 5 5 10 8 10 10 7 8 7 7 7 8 4 4 4 11 2 9 7 7 7 7 8 11 11 5 4 4 5 4 4 4 11 4 11 5 4 5 10 0 6 8 7 10 10 8 2 9 7 7 8 10 7 7 7 8 11 11 5 4 4 1 3 4 4 5 4 4 11 11 5 5 7 7 11 2 9 4 5 10 10 8 2 10 6 10 7 8 8 7 7 7 7 11 10 8 8 11 1 3 4 4 4 4 4 5 10 10 8 7 8 11 5 10 10 8 7 8 4 11 2 4 3 10 10 8 8 10 10 8 8 11 2 9 5 11 4 4 1 3 4 5 11 11 5 2 3 10 7 7 8 10 10 8 7 8 7 10 10 8 7 8 11 5 4 11 5 10 10 8 2 9 5 11 11 5 2 3 4 11 5 10 7 10 8 7 7 7 8 11 2 9 11 5 7 8 4 11 10 8 8 11 4 5 4 4 4 4 11 11 4 5 2 9 10 8 2 7 9 8 7 7 10 10 8 2 4 11 5 6 7 7 11 11 5 4 4 4 4 5 4 11 11 5 5 7 7 7 10 11 5 5 11 5 10 10 8 7 8 7 7 11 10 8 8 10 7 8 10 10 8 8 4 4 4 4 4 4 4 11 5 10 8 11 4 4 4 5 10 8 0 9 10 7 8 10 8 8 10 7 8 10 7 8 11 11 5 11 4 5 4 5 10 8 11 11 5 5 11 2 4 9 11 5 5 10 10 7 8 7 8 10 10 8 7 8 11 11 5 4 4 5
ppo_x50_b_fd_l4_same_gamma,3,qv14_11,14,90,True,453.0,2.9244933128356934,8 8 9 10 8 8 10 10 8 8 11 5 10 10 7 8 8 10 10 8 8 11 5 4 4 11 5 11 11 5 7 7 8 10 10 8 7 8 10 10 8 8 10 10 8 8 11 4 5 11 5 7 10 10 7 8 2 11 11 6 5 4 4 4 4 5 11 2 9 10 8 8 4 4 4 11 2 3 11 5 11 11 5 5 7 7 7 7 7 7 7 7 10 7 7 8 11 4 5 4 4 4 11 5 10 7 7 10 8 8 10 8 11 2 11 9 5 4 4 4 4 4 5 10 10 8 7 8 11 2 9 11 5 4 4 4 5 10 2 9 10 8 8 10 10 8 7 7 7 7 7 8 1 3 4 4 4 10 10 8 2 9 10 8 7 7 8 4 11 4 4 5 11 4 5 10 7 7 7 7 7 8 11 11 5 5 11 4 4 4 4 4 10 8 7 8 10 11 5 2 3 11 11 5 4 4 5 4 10 2 10 9 8 7 8 7 7 7 10 8 11 11 5 5 7 11 10 8 8 10 2 10 10 8 8 4 4 4 4 9 4 5 11 4 4 5 10 10 8 2 9 10 8 7 7 8 7 7 7 10 8 4 4 4 11 4 4 4 4 5 10 7 10 8 7 8 10 8 4 11 11 5 4 4 4 4 5 10 2 9 8 7 7 10 7 8 11 4 10 8 7 7 7 8 11 4 4 4 5 10 10 7 7 8 2 7 10 8 9 10 8 8 4 1 3 4 11 11 5 7 8 11 4 4 4 4 4 11 5 11 5 2 9 7 8 11 11 5 5 7 7 7 10 7 7 7 8 11 2 9 10 8 7 8 4 4 4 11 4 4 4 4 5 10 10 8 8 7 7 7 10 7 7 7 7 8 11 4 4 4 4 4 5 11 4 4 5 4 4 10 10 8 7 7 8 11 2 9 10 8 8 10 10 8 0 6 7 8 10 10 2 8 11 3 5 11 5 4 4 4 11 4 11 5 2 9 11 5 2 10 10 8 7 7 7 7 7 7 8 10 10 8 8
ppo_x50_b_fd_l4_same_gamma,4,qv14_12,14,92,True,451.0,2.990370273590088,8 8 9 10 8 8 11 2 9 7 10 8 8 10 10 8 8 11 5 7 10 10 8 8 4 4 11 5 4 10 10 8 8 10 7 7 10 8 8 10 10 8 8 4 10 8 11 11 5 5 4 10 8 11 11 5 4 4 5 11 4 5 4 11 11 5 5 7 7 7 7 10 11 5 2 10 9 5 5 10 10 8 7 7 8 4 4 10 11 5 5 4 4 10 10 8 7 7 7 7 7 7 8 4 11 2 9 11 5 4 5 10 0 6 8 10 10 7 7 8 2 11 5 9 11 5 7 8 4 11 4 4 4 4 5 4 10 10 8 7 8 11 11 5 4 4 4 4 4 5 7 11 11 5 2 9 7 0 6 8 10 10 8 7 7 7 7 7 8 4 11 11 2 3 5 10 8 4 11 11 5 2 6 7 7 11 10 8 8 10 10 7 8 8 1 9 5 4 4 4 11 4 4 11 5 2 9 8 10 10 7 7 8 2 11 3 4 4 4 5 4 11 11 5 5 7 7 10 0 6 7 7 7 7 8 10 10 8 2 7 11 9 5 4 5 10 2 6 11 11 5 4 4 4 4 4 4 4 5 10 7 10 8 8 10 8 10 10 8 2 11 5 9 11 5 4 4 5 10 7 10 8 7 7 7 8 11 4 5 4 4 11 5 10 10 8 2 3 10 11 5 5 11 11 5 5 7 7 10 7 5 10 10 7 7 8 8 11 5 4 11 5 7 10 10 7 7 8 4 5 10 2 7 7 10 10 8 8 4 4 9 4 5 11 5 1 4 3 4 4 4 4 10 8 11 11 5 5 10 8 11 11 5 2 10 8 7 10 10 7 6 7 7 7 8 7 8 11 5 10 10 8 2 4 4 11 4 4 5 11 5 10 10 7 8 6 7 7 8 11 4 4 5 10 10 8 8 10 0 6 8 10 10 2 8 11 3 5 11 11 5 5 11 4 5 11 11 5 2 11 11 5 4 3 4 5 10 10 8 7 7 7 7 7 8 10 10 8 7 7 8
ppo_x50_b_fd_l4_same_gamma,5,qv14_13,14,87,True,444.0,2.8268089294433594,8 6 2 9 10 8 8 10 10 8 8 11 5 7 10 10 8 8 10 10 8 8 11 5 11 4 5 10 4 4 4 11 5 2 7 6 7 7 10 10 7 7 7 8 8 4 4 11 5 10 11 5 5 4 11 5 7 10 7 7 7 7 10 7 8 8 4 10 8 11 11 5 2 4 11 5 3 4 4 10 10 8 7 8 11 4 5 11 4 5 4 4 4 11 11 5 2 7 7 7 9 10 8 2 9 7 8 7 10 7 7 7 7 10 8 2 11 5 11 9 5 4 5 1 4 4 4 9 4 4 5 10 10 7 8 2 9 8 4 11 11 5 2 3 11 4 5 7 7 7 10 10 7 8 7 8 11 11 5 2 9 7 7 8 11 4 4 4 5 11 11 5 5 4 11 11 5 7 2 7 6 7 7 10 7 7 10 8 7 8 1 9 4 5 10 10 7 5 2 9 5 10 10 8 8 10 11 5 4 4 4 4 4 5 11 11 5 2 7 9 10 8 4 4 4 5 10 2 10 10 6 8 7 10 7 8 7 7 7 7 8 4 11 4 4 4 5 11 2 9 10 8 4 5 10 7 7 7 8 11 11 5 2 4 4 11 9 5 5 11 11 5 2 3 11 11 5 7 7 7 7 7 8 11 2 11 9 5 5 11 2 6 7 7 10 7 7 7 10 8 8 4 1 3 4 11 4 4 4 4 4 4 4 5 7 11 2 9 5 10 10 8 7 8 11 2 3 4 11 5 10 10 8 7 10 8 8 11 4 5 10 7 10 7 7 7 8 8 11 4 5 10 2 6 4 4 10 8 11 11 5 2 11 4 3 5 10 4 4 5 10 10 7 7 8 8 7 7 10 10 8 7 7 8 11 10 8 2 9 4 11 5 5 7 10 8 4 4 4 4 11 5 7 10 8 11 11 5 11 5 5 7 11 2 9 11 5 4 5 10 10 8 7 10 8 7 7 8 10 10 7 8 8 4 10 8 11 11 5 4 4 4 4 5
ppo_x50_b_fd_l4_same_gamma,6,qv14_14,14,92,True,470.0,2.995680332183838,8 8 10 9 8 8 10 10 8 8 11 5 7 10 10 8 8 10 10 8 8 4 11 4 4 4 4 5 0 9 5 10 7 10 7 7 5 2 9 10 8 8 10 7 10 8 8 10 10 8 8 4 4 11 4 4 4 4 4 4 5 7 7 10 7 8 10 10 8 7 7 7 8 11 4 4 5 4 11 4 5 10 10 8 8 10 7 10 8 8 4 11 4 4 4 4 4 4 4 4 5 7 11 5 10 7 10 8 10 8 8 10 7 7 7 8 10 10 8 7 8 4 4 11 1 3 4 4 4 4 4 4 5 0 6 10 10 8 8 10 7 7 8 11 5 10 10 7 8 8 11 2 4 4 3 11 5 11 11 5 5 7 7 10 8 4 4 11 5 4 11 11 5 5 7 7 10 7 8 4 4 4 11 5 10 10 7 7 7 8 7 7 7 7 7 8 11 4 5 10 2 10 10 8 7 8 9 5 4 4 4 4 11 4 5 10 10 8 2 7 9 8 10 10 8 2 4 4 4 4 11 3 4 5 11 11 5 2 9 8 10 10 7 8 7 7 8 10 8 10 7 7 8 11 4 11 5 4 5 10 7 7 8 11 4 11 5 2 9 8 11 4 11 5 5 11 5 10 2 9 10 8 4 4 4 4 4 5 7 10 7 8 11 11 5 5 7 10 8 10 7 7 8 10 10 7 7 7 8 8 11 2 9 11 5 4 5 4 4 4 4 4 4 4 11 4 10 8 8 7 10 7 7 8 11 4 5 11 11 5 4 5 10 8 7 11 4 10 8 8 10 10 8 8 7 7 11 10 8 8 4 11 11 5 4 4 4 4 5 10 8 11 11 5 2 7 11 5 10 9 8 8 7 7 0 6 7 10 8 10 7 7 10 7 7 2 8 11 5 4 4 4 11 5 4 11 11 5 5 3 4 4 10 10 8 0 6 7 7 7 8 10 10 8 2 10 7 10 8 8 11 4 4 3 4 5 4 11 11 5 4 4 4 4 5 10 10 7 7 8 7 0 6 7 7 8 7 10 10 8 8 4 4 4 4 4 11 11 5 5
ppo_x50_b_fd_l4_same_gamma,7,qv14_15,14,88,True,434.0,2.8812472820281982,8 8 9 10 8 8 10 10 8 8 10 10 8 8 11 4 5 11 11 5 7 7 8 11 4 5 7 7 10 10 7 8 8 10 10 8 8 4 11 10 8 8 11 2 9 11 4 5 5 7 7 10 8 4 10 2 9 11 5 5 10 4 11 5 4 4 4 4 5 10 8 10 7 8 10 7 8 4 4 4 4 11 11 5 5 7 7 11 10 8 8 11 2 10 10 8 6 8 4 4 4 10 11 5 5 7 10 10 8 7 7 7 7 7 10 7 8 8 11 5 1 9 5 10 11 5 5 4 4 10 10 8 2 6 7 10 10 8 8 11 5 11 11 5 5 11 4 4 5 10 10 7 7 7 7 7 8 2 4 9 8 11 11 5 11 5 2 3 11 11 5 4 4 4 4 4 4 5 10 10 8 2 6 10 8 10 10 8 7 7 7 7 8 11 1 3 5 4 4 11 4 4 11 5 4 8 11 11 5 2 7 10 6 8 7 10 10 8 7 5 10 7 10 8 2 10 9 8 7 7 8 11 1 9 5 5 4 4 4 11 4 4 4 5 10 10 2 8 9 5 10 10 7 7 8 8 11 4 5 10 10 8 8 10 10 8 8 10 10 8 8 11 5 10 10 8 4 2 11 4 9 5 5 4 4 4 11 11 5 2 3 4 11 11 5 5 7 7 10 8 10 2 9 10 8 4 5 10 8 10 10 8 8 10 10 7 8 4 4 4 4 4 4 5 7 7 7 7 7 10 7 8 10 2 9 11 5 4 4 4 5 10 10 7 8 8 11 5 4 11 5 10 10 8 2 3 4 11 4 5 11 11 5 5 7 7 7 7 7 11 10 8 8 10 7 7 10 8 8 4 4 11 10 8 8 4 1 3 4 4 4 11 4 5 4 4 11 11 5 2 7 7 7 7 7 7 7 9 8 7 10 8 10 10 8 2 10 8 11 11 5 4 4 9 5 5 11 11 5 5 11 11 5 2
ppo_x50_b_fd_l4_same_gamma,8,qv14_16,14,94,True,463.0,3.064605236053467,8 8 10 9 8 8 10 10 8 8 10 4 5 10 7 10 8 8 10 10 8 8 11 5 11 2 6 7 10 10 8 8 4 4 4 11 5 4 4 11 11 5 4 5 10 0 6 8 10 10 7 8 7 8 11 5 10 7 10 7 7 7 8 8 4 4 11 5 10 4 4 5 7 10 7 7 8 10 8 4 11 11 5 2 3 4 4 4 4 4 4 11 5 10 10 8 2 9 5 10 7 7 7 10 8 2 9 5 11 11 5 4 4 4 5 10 8 10 10 8 10 8 2 9 7 8 10 10 8 8 7 10 8 10 2 9 10 8 4 4 4 5 4 4 4 11 4 4 4 4 5 10 8 7 10 7 7 7 8 11 10 8 2 11 3 11 5 5 11 4 11 5 5 4 10 10 8 0 6 7 7 7 7 7 7 8 11 2 9 4 1 4 3 4 4 4 4 5 4 10 2 9 10 8 8 10 10 8 8 7 10 8 10 10 8 8 4 4 4 11 4 5 10 10 7 5 4 4 5 7 7 10 7 10 7 7 7 8 8 10 8 11 4 5 7 11 11 5 4 5 4 10 11 5 5 4 4 4 10 2 9 8 11 11 5 5 4 10 2 10 6 7 7 5 10 10 7 7 7 5 2 9 8 10 10 8 7 7 8 11 5 4 4 11 4 11 5 2 9 8 10 10 8 2 3 11 5 4 11 5 7 10 10 7 7 8 8 10 4 5 7 10 10 8 8 4 4 4 4 10 8 11 10 8 8 10 8 4 11 11 5 5 4 4 4 4 4 10 8 11 11 5 4 5 11 2 10 9 8 8 7 10 7 8 7 7 10 7 7 8 10 10 8 8 4 4 11 10 8 2 11 11 5 4 4 9 5 5 11 11 5 5 10 7 7 8 7 11 11 5 4 4 5 11 11 5 5 11 5 10 10 8 2 6 10 8 10 10 7 7 7 8 7 7 7 8 11 11 5 11 5 2 11 11 5 9 5 4 4 4 4 5 4 11 11 5 2 10 10 7 7 8 7 7 7 8 4 10 10 8 7 7 8
ppo_x50_b_fd_l4_same_gamma,9,qv14_17,14,94,True,468.0,3.0781025886535645,8 8 9 10 8 8 10 10 8 8 10 10 8 8 10 10 8 8 11 5 4 11 11 5 4 5 10 7 8 7 10 7 7 10 8 8 4 11 4 5 7 11 11 5 4 4 5 10 7 7 7 8 11 4 5 10 10 7 7 7 7 8 8 4 11 5 10 10 8 2 11 5 4 3 11 4 5 7 10 7 10 8 8 10 8 4 4 4 4 4 10 11 5 5 10 7 7 7 7 8 4 4 11 11 5 4 4 4 11 5 5 11 11 5 5 7 7 10 8 4 11 5 4 10 10 8 8 10 10 8 8 11 2 9 4 5 10 7 7 8 10 10 8 2 4 4 3 10 10 8 7 7 8 10 7 7 10 8 4 2 9 11 5 2 3 4 4 4 4 10 11 5 5 11 11 5 4 4 5 10 2 9 10 8 7 7 7 7 7 7 7 7 8 4 4 11 5 4 4 4 11 4 5 11 5 4 10 10 8 7 7 7 7 7 8 11 4 11 5 4 4 5 10 10 8 8 11 5 10 10 7 7 8 7 8 4 11 5 10 10 8 2 9 5 4 11 11 5 4 4 5 11 11 5 2 6 7 11 5 10 10 8 7 8 7 10 10 8 2 9 4 5 7 7 10 10 8 8 7 10 8 11 11 5 5 7 11 1 3 4 4 1 3 4 5 4 10 11 5 5 4 11 11 5 2 7 7 7 7 9 8 11 4 5 10 10 8 8 10 10 7 8 2 7 7 9 8 10 10 8 8 4 4 4 4 11 2 9 7 7 7 8 4 11 4 11 5 5 11 4 4 5 11 11 5 5 7 7 10 0 6 7 7 7 8 10 10 7 8 5 10 10 8 4 2 4 4 11 9 8 8 11 4 4 11 5 5 4 11 4 4 5 10 10 8 8 4 11 5 4 10 10 8 7 7 7 8 11 5 4 11 5 10 10 8 2 9 10 8 10 8 7 8 7 10 7 8 10 2 6 11 11 5 11 5 11 5 5 7 10 8 11 11 5 5 11 11 5 11 5 2 9 5 4 4 11 11 5 2 4 10 10 8 7 7 7 7 8
