agent,env,problem_name,ion_count,op_count,solved,duration,compile_time,actions
ppo_x50_b_fd_l4_noshaped,0,qv34_0,34,563,False,,42.72158861160278,
ppo_x50_b_fd_l4_noshaped,1,qv34_1,34,562,False,,42.82074856758118,
ppo_x50_b_fd_l4_noshaped,2,qv34_10,34,554,False,,42.19697904586792,
ppo_x50_b_fd_l4_noshaped,3,qv34_11,34,558,False,,42.37659740447998,
ppo_x50_b_fd_l4_noshaped,4,qv34_12,34,562,False,,42.88386583328247,
ppo_x50_b_fd_l4_noshaped,5,qv34_13,34,556,False,,42.11292862892151,
ppo_x50_b_fd_l4_noshaped,6,qv34_14,34,563,False,,42.60436677932739,
ppo_x50_b_fd_l4_noshaped,7,qv34_15,34,561,False,,42.54194951057434,
ppo_x50_b_fd_l4_noshaped,8,qv34_16,34,558,False,,42.52265167236328,
ppo_x50_b_fd_l4_noshaped,9,qv34_17,34,555,False,,41.9523241519928,
ppo_x50_b_fd_l4_noshaped,10,qv34_18,34,560,False,,42.61102271080017,
ppo_x50_b_fd_l4_noshaped,11,qv34_19,34,559,False,,42.63017249107361,
ppo_x50_b_fd_l4_noshaped,12,qv34_2,34,563,False,,42.78123426437378,
ppo_x50_b_fd_l4_noshaped,13,qv34_20,34,563,False,,42.8831684589386,
ppo_x50_b_fd_l4_noshaped,14,qv34_21,34,559,False,,42.31682300567627,
ppo_x50_b_fd_l4_noshaped,15,qv34_22,34,554,False,,41.964839458465576,
ppo_x50_b_fd_l4_noshaped,16,qv34_23,34,554,False,,42.21665167808533,
ppo_x50_b_fd_l4_noshaped,17,qv34_24,34,566,False,,42.8909854888916,
ppo_x50_b_fd_l4_noshaped,18,qv34_25,34,563,False,,42.6996111869812,
ppo_x50_b_fd_l4_noshaped,19,qv34_26,34,557,False,,42.386359214782715,
ppo_x50_b_fd_l4_noshaped,20,qv34_27,34,565,False,,42.87492394447327,
ppo_x50_b_fd_l4_noshaped,21,qv34_28,34,557,False,,42.330058336257935,
ppo_x50_b_fd_l4_noshaped,22,qv34_29,34,559,False,,42.354148149490356,
ppo_x50_b_fd_l4_noshaped,23,qv34_3,34,560,False,,42.422547340393066,
ppo_x50_b_fd_l4_noshaped,24,qv34_30,34,563,False,,42.782978534698486,
ppo_x50_b_fd_l4_noshaped,25,qv34_31,34,566,False,,43.1177704334259,
ppo_x50_b_fd_l4_noshaped,26,qv34_32,34,560,False,,42.50920367240906,
ppo_x50_b_fd_l4_noshaped,27,qv34_33,34,560,False,,42.59131217002869,
ppo_x50_b_fd_l4_noshaped,28,qv34_34,34,560,False,,42.69832468032837,
ppo_x50_b_fd_l4_noshaped,29,qv34_35,34,559,False,,42.33716821670532,
ppo_x50_b_fd_l4_noshaped,30,qv34_36,34,559,False,,42.28717851638794,
ppo_x50_b_fd_l4_noshaped,31,qv34_37,34,562,False,,42.63674521446228,
ppo_x50_b_fd_l4_noshaped,32,qv34_38,34,553,False,,42.01841187477112,
ppo_x50_b_fd_l4_noshaped,33,qv34_39,34,557,False,,42.39149570465088,
ppo_x50_b_fd_l4_noshaped,34,qv34_4,34,556,False,,42.23691248893738,
ppo_x50_b_fd_l4_noshaped,35,qv34_40,34,561,False,,42.72661471366882,
ppo_x50_b_fd_l4_noshaped,36,qv34_41,34,554,False,,41.96373963356018,
ppo_x50_b_fd_l4_noshaped,37,qv34_42,34,563,False,,42.71702527999878,
ppo_x50_b_fd_l4_noshaped,38,qv34_43,34,558,False,,42.21222424507141,
ppo_x50_b_fd_l4_noshaped,39,qv34_44,34,566,False,,42.92712068557739,
ppo_x50_b_fd_l4_noshaped,40,qv34_45,34,564,False,,42.69602680206299,
ppo_x50_b_fd_l4_noshaped,41,qv34_46,34,565,False,,42.99630284309387,
ppo_x50_b_fd_l4_noshaped,42,qv34_47,34,562,False,,42.57123804092407,
ppo_x50_b_fd_l4_noshaped,43,qv34_48,34,561,False,,42.45471692085266,
ppo_x50_b_fd_l4_noshaped,44,qv34_49,34,563,False,,42.83128499984741,
ppo_x50_b_fd_l4_noshaped,45,qv34_5,34,560,False,,42.59040355682373,
ppo_x50_b_fd_l4_noshaped,46,qv34_50,34,567,False,,42.86659359931946,
ppo_x50_b_fd_l4_noshaped,47,qv34_51,34,563,False,,42.91962671279907,
ppo_x50_b_fd_l4_noshaped,48,qv34_52,34,569,False,,43.354644775390625,
ppo_x50_b_fd_l4_noshaped,49,qv34_53,34,547,False,,41.624165534973145,
ppo_x50_b_fd_l4_noshaped,50,qv34_54,34,564,False,,42.73654508590698,
ppo_x50_b_fd_l4_noshaped,51,qv34_55,34,561,False,,42.62080645561218,
ppo_x50_b_fd_l4_noshaped,52,qv34_56,34,564,False,,42.92163133621216,
ppo_x50_b_fd_l4_noshaped,53,qv34_57,34,554,False,,42.05189061164856,
ppo_x50_b_fd_l4_noshaped,54,qv34_58,34,564,False,,42.80935859680176,
ppo_x50_b_fd_l4_noshaped,55,qv34_59,34,563,False,,42.596118688583374,
ppo_x50_b_fd_l4_noshaped,56,qv34_6,34,563,False,,42.773229360580444,
ppo_x50_b_fd_l4_noshaped,57,qv34_60,34,551,False,,41.94028043746948,
ppo_x50_b_fd_l4_noshaped,58,qv34_61,34,566,False,,42.87607407569885,
ppo_x50_b_fd_l4_noshaped,59,qv34_62,34,561,False,,42.65169644355774,
ppo_x50_b_fd_l4_noshaped,60,qv34_63,34,563,False,,42.93125629425049,
ppo_x50_b_fd_l4_noshaped,61,qv34_64,34,558,False,,42.33383250236511,
ppo_x50_b_fd_l4_noshaped,62,qv34_65,34,557,False,,42.10007834434509,
ppo_x50_b_fd_l4_noshaped,63,qv34_66,34,565,False,,42.8309326171875,
ppo_x50_b_fd_l4_noshaped,64,qv34_67,34,563,False,,42.8660101890564,
ppo_x50_b_fd_l4_noshaped,65,qv34_68,34,558,False,,42.2986376285553,
ppo_x50_b_fd_l4_noshaped,66,qv34_69,34,562,False,,42.665395975112915,
ppo_x50_b_fd_l4_noshaped,67,qv34_7,34,564,False,,42.6438844203949,
ppo_x50_b_fd_l4_noshaped,68,qv34_70,34,567,False,,43.15144371986389,
ppo_x50_b_fd_l4_noshaped,69,qv34_71,34,564,False,,42.89414691925049,
ppo_x50_b_fd_l4_noshaped,70,qv34_72,34,562,False,,42.58806347846985,
ppo_x50_b_fd_l4_noshaped,71,qv34_73,34,553,False,,42.03938865661621,
ppo_x50_b_fd_l4_noshaped,72,qv34_74,34,560,False,,42.333420753479004,
ppo_x50_b_fd_l4_noshaped,73,qv34_75,34,564,False,,42.72911262512207,
